2022-05-18 16:05:146 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 16:05:637 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:804 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:723 INFO  HomePage :32 - Entering text to username :Satandard_user[[ChromeDriver: chrome on WINDOWS (8bdc873ad34383bba3958f275e72dab3)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:787 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (8bdc873ad34383bba3958f275e72dab3)] -> xpath: //input[@id='password']]
2022-05-18 18:05:841 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (8bdc873ad34383bba3958f275e72dab3)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:783 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:456 INFO  HomePage :32 - Entering text to username :satandard_user[[ChromeDriver: chrome on WINDOWS (4e3e08959530a966ea426b6b48ac39ed)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:527 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (4e3e08959530a966ea426b6b48ac39ed)] -> xpath: //input[@id='password']]
2022-05-18 18:05:581 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (4e3e08959530a966ea426b6b48ac39ed)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:399 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:61 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (0591e3d0817597ee9e73c62a23f5553c)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:126 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (0591e3d0817597ee9e73c62a23f5553c)] -> xpath: //input[@id='password']]
2022-05-18 18:05:220 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (0591e3d0817597ee9e73c62a23f5553c)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:858 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:792 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (93c9c8cfa9d122c652544257f161d814)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:860 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (93c9c8cfa9d122c652544257f161d814)] -> xpath: //input[@id='password']]
2022-05-18 18:05:954 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (93c9c8cfa9d122c652544257f161d814)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:295 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:84 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (8160738e0eaa6062be754bc4c34b33da)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:147 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (8160738e0eaa6062be754bc4c34b33da)] -> xpath: //input[@id='password']]
2022-05-18 18:05:251 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (8160738e0eaa6062be754bc4c34b33da)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:58 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:850 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (e402ced4974bba16b2586d202bb99ae1)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:916 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (e402ced4974bba16b2586d202bb99ae1)] -> xpath: //input[@id='password']]
2022-05-18 18:05:09 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (e402ced4974bba16b2586d202bb99ae1)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:834 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:669 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (a2cd0faf726994886623267cec4ea94b)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:770 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (a2cd0faf726994886623267cec4ea94b)] -> xpath: //input[@id='password']]
2022-05-18 18:05:871 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (a2cd0faf726994886623267cec4ea94b)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:872 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:533 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (fc3b3ad71caea894ed4a0f3d09a5a6f5)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:598 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (fc3b3ad71caea894ed4a0f3d09a5a6f5)] -> xpath: //input[@id='password']]
2022-05-18 18:05:698 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (fc3b3ad71caea894ed4a0f3d09a5a6f5)] -> xpath: //input[@id='login-button']]
2022-05-18 18:05:292 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 18:05:966 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (344f42b7e37978263c08be214798b24d)] -> xpath: //input[@id='user-name']]
2022-05-18 18:05:26 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (344f42b7e37978263c08be214798b24d)] -> xpath: //input[@id='password']]
2022-05-18 18:05:124 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (344f42b7e37978263c08be214798b24d)] -> xpath: //input[@id='login-button']]
2022-05-18 19:05:56 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 19:05:05 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (e22ba88d76af0f1a6c5af517e5b6fb46)] -> xpath: //input[@id='user-name']]
2022-05-18 19:05:74 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (e22ba88d76af0f1a6c5af517e5b6fb46)] -> xpath: //input[@id='password']]
2022-05-18 19:05:181 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (e22ba88d76af0f1a6c5af517e5b6fb46)] -> xpath: //input[@id='login-button']]
2022-05-18 19:05:113 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 19:05:904 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (b1827b5fa54b2ef8987a5a25a2c49772)] -> xpath: //input[@id='user-name']]
2022-05-18 19:05:967 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (b1827b5fa54b2ef8987a5a25a2c49772)] -> xpath: //input[@id='password']]
2022-05-18 19:05:62 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (b1827b5fa54b2ef8987a5a25a2c49772)] -> xpath: //input[@id='login-button']]
2022-05-18 19:05:730 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 19:05:440 INFO  HomePage :32 - Entering text to username :standard_user[[ChromeDriver: chrome on WINDOWS (0ef25db7364ac9956d57b678982b38e5)] -> xpath: //input[@id='user-name']]
2022-05-18 19:05:510 INFO  HomePage :37 - Entering password to passwordfield : secret_sauce[[ChromeDriver: chrome on WINDOWS (0ef25db7364ac9956d57b678982b38e5)] -> xpath: //input[@id='password']]
2022-05-18 19:05:609 INFO  HomePage :42 - clicking on log in button :[[ChromeDriver: chrome on WINDOWS (0ef25db7364ac9956d57b678982b38e5)] -> xpath: //input[@id='login-button']]
2022-05-18 22:05:669 INFO  ManageDriver :34 - Launching Chrome Browser
